Name,Status,Assigned To,Category
Create a Loom video explaining how to use Transcend for artists,,,Documentation
Write 50 character description of what Transcend is for Y Combinator,,,Documentation
Answer question “How far along are you?” for Y Combinator,,,Documentation
Schedule user interview with Marcelo Monsalve,,jonah steuer,Outreach
Schedule call with Joey Ehren,20%,,Outreach
Schedule user interview with Julian Kenji,20%,jonah steuer,Outreach
Schedule user interview with Emma Shen,,Marwan Refaat,Outreach
Schedule user interview with Ryan Kelly,,Marwan Refaat,Outreach
Schedule user interview with Nicholas Chen,,Marwan Refaat,Outreach
Schedule user interview with Sonyamia,,jonah steuer,Outreach
Schedule user interview with Joseph Pin,,Marwan Refaat,Outreach
Reach out to Rebecca Freedman,,Marwan Refaat,Outreach
Schedule call with Michael Ye,,Marwan Refaat,Outreach
Schedule user interview with Ben,100%,,Outreach
